organization_id,organization_name,vaccinations_list,patients_list,username,password
VO_0001,Columbia Asia,"V10', 'V8', 'V5'","P250',
 'P502',
 'P43',
 'P270',
 'P695',
 'P743',
 'P881',
 'P721',
 'P269',
 'P232',
 'P232',
 'P978',
 'P309',
 'P398',
 'P627',
 'P261',
 'P660',
 'P313',
 'P856',
 'P947',
 'P747',
 'P618',
 'P243',
 'P272',
 'P238',
 'P264',
 'P601',
 'P744',
 'P995',
 'P145',
 'P157',
 'P294',
 'P248',
 'P536',
 'P847',
 'P656',
 'P509',
 'P887',
 'P314',
 'P11',
 'P530',
 'P492',
 'P311',
 'P926',
 'P369',
 'P970',
 'P416',
 'P589',
 'P460',
 'P685',
 'P3',
 'P112',
 'P929',
 'P242',
 'P150',
 'P79',
 'P547',
 'P433',
 'P720',
 'P150',
 'P539',
 'P699',
 'P698',
 'P88',
 'P888',
 'P523',
 'P324',
 'P304',
 'P258',
 'P961',
 'P244',
 'P819',
 'P580',
 'P399',
 'P975',
 'P577',
 'P482',
 'P586',
 'P204',
 'P85',
 'P741',
 'P112',
 'P463',
 'P690',
 'P585',
 'P301',
 'P812',
 'P815',
 'P718',
 'P632',
 'P489',
 'P886',
 'P491',
 'P264',
 'P878',
 'P963',
 'P354',
 'P419',
 'P455',
 'P204'",COL,vo@1341
VO_0002,BGS Global Hospital,"V8', 'V6', 'V3'","P189',
 'P967',
 'P912',
 'P996',
 'P52',
 'P689',
 'P96',
 'P442',
 'P274',
 'P741',
 'P494',
 'P612',
 'P899',
 'P774',
 'P443',
 'P961',
 'P385',
 'P264',
 'P354',
 'P882',
 'P646',
 'P753',
 'P50',
 'P966',
 'P21',
 'P56',
 'P992',
 'P74',
 'P954',
 'P22',
 'P641',
 'P841',
 'P901',
 'P304',
 'P859',
 'P984',
 'P578',
 'P941',
 'P783',
 'P126',
 'P144',
 'P604',
 'P733',
 'P378',
 'P826',
 'P96',
 'P103',
 'P898',
 'P615',
 'P374',
 'P334',
 'P776',
 'P871',
 'P146',
 'P19',
 'P522',
 'P346',
 'P923',
 'P578',
 'P31',
 'P576',
 'P284',
 'P431',
 'P17',
 'P279',
 'P363',
 'P917',
 'P701',
 'P156',
 'P776',
 'P124',
 'P680',
 'P126',
 'P487',
 'P416'",BGS,vo@1342
VO_0003,Manipal Hospital,"V2', 'V4', 'V10'","P115',
 'P900',
 'P71',
 'P500',
 'P494',
 'P431',
 'P669',
 'P269',
 'P935',
 'P875',
 'P66',
 'P216',
 'P571',
 'P985',
 'P137',
 'P187',
 'P484',
 'P860',
 'P164',
 'P440',
 'P271',
 'P31',
 'P993',
 'P282',
 'P560',
 'P361',
 'P557',
 'P291',
 'P671',
 'P630',
 'P633',
 'P930',
 'P345',
 'P96',
 'P957',
 'P989',
 'P216',
 'P93',
 'P244',
 'P440',
 'P228',
 'P972',
 'P552',
 'P577',
 'P470',
 'P716',
 'P638',
 'P283',
 'P509',
 'P617',
 'P471',
 'P315',
 'P909',
 'P537',
 'P802',
 'P202',
 'P426',
 'P434',
 'P940',
 'P17',
 'P614',
 'P631',
 'P171',
 'P595',
 'P22',
 'P944',
 'P607',
 'P585',
 'P198',
 'P947',
 'P497',
 'P818',
 'P450',
 'P579',
 'P876',
 'P732',
 'P928',
 'P901',
 'P502',
 'P661'",MAN,vo@1343
VO_0004,Apollo Hospital,"V5', 'V6', 'V7'","P532',
 'P688',
 'P395',
 'P516',
 'P917',
 'P229',
 'P29',
 'P597',
 'P630',
 'P836',
 'P967',
 'P670',
 'P455',
 'P624',
 'P408',
 'P296',
 'P957',
 'P183',
 'P788',
 'P923',
 'P839',
 'P456',
 'P648',
 'P954',
 'P348',
 'P701',
 'P526',
 'P9',
 'P532',
 'P819',
 'P3',
 'P128',
 'P672',
 'P274',
 'P900',
 'P627',
 'P695',
 'P524',
 'P42',
 'P781',
 'P286',
 'P229',
 'P143',
 'P285',
 'P574',
 'P110',
 'P67',
 'P809',
 'P614',
 'P628',
 'P23',
 'P579',
 'P219',
 'P497',
 'P136',
 'P686',
 'P732',
 'P364',
 'P512',
 'P529',
 'P659',
 'P660',
 'P173',
 'P260',
 'P814',
 'P270',
 'P204',
 'P630',
 'P391',
 'P451',
 'P900',
 'P998',
 'P274',
 'P72',
 'P449',
 'P887',
 'P756',
 'P593',
 'P88',
 'P599',
 'P558',
 'P856',
 'P302',
 'P279',
 'P840',
 'P398',
 'P823',
 'P843',
 'P235',
 'P155',
 'P277',
 'P335',
 'P275',
 'P440',
 'P811',
 'P899',
 'P438',
 'P840',
 'P436',
 'P652',
 'P891',
 'P393',
 'P761',
 'P965',
 'P537',
 'P503',
 'P474',
 'P357',
 'P210',
 'P538',
 'P814',
 'P78',
 'P274',
 'P436',
 'P621',
 'P370',
 'P112',
 'P681',
 'P637',
 'P800'",APO,vo@1344
VO_0005,Fortis Hospital,"V1', 'V2', 'V9'","P707',
 'P51',
 'P612',
 'P650',
 'P707',
 'P224',
 'P778',
 'P122',
 'P388',
 'P677',
 'P393',
 'P583',
 'P306',
 'P255',
 'P524',
 'P464',
 'P304',
 'P435',
 'P298',
 'P626',
 'P25',
 'P61',
 'P174',
 'P808',
 'P683',
 'P403',
 'P516',
 'P543',
 'P508',
 'P771',
 'P223',
 'P6',
 'P381',
 'P503',
 'P471',
 'P372',
 'P89',
 'P710',
 'P727',
 'P182',
 'P157',
 'P673',
 'P527',
 'P511',
 'P92',
 'P581',
 'P704',
 'P702',
 'P551',
 'P336',
 'P98',
 'P156',
 'P356',
 'P71',
 'P58',
 'P44',
 'P64',
 'P974',
 'P249',
 'P964',
 'P581',
 'P178',
 'P910',
 'P700',
 'P129',
 'P509',
 'P120',
 'P634',
 'P652',
 'P102',
 'P392',
 'P13',
 'P846',
 'P56',
 'P787',
 'P331',
 'P674',
 'P861',
 'P588',
 'P176',
 'P989',
 'P312',
 'P800',
 'P673',
 'P689',
 'P858',
 'P794',
 'P631',
 'P680',
 'P273'",FOR,vo@1345
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,G122D2F75:G124
